t, dist_ref, dist_hat 
0.000000, 0.000000, 68717.763525 
0.002500, 0.005000, -51.436098 
0.005000, 0.010000, 1.633847 
0.007500, 0.015000, -19.049440 
0.010000, 0.020000, -6.498547 
0.012500, 0.024999, 15.288005 
0.015000, 0.029999, 7.723668 
0.017500, 0.034998, -3.475653 
0.020000, 0.039997, -12.984902 
0.022500, 0.044996, -8.183414 
0.025000, 0.049995, 2.598297 
0.027500, 0.054993, 6.514047 
0.030000, 0.059991, 0.875002 
0.032500, 0.064989, -6.851209 
0.035000, 0.069986, -7.811377 
0.037500, 0.074982, -1.771343 
0.040000, 0.079979, 3.532451 
0.042500, 0.084974, 2.635579 
0.045000, 0.089970, -2.964703 
0.047500, 0.094964, -7.050152 
0.050000, 0.099958, -5.132047 
0.052500, 0.104952, 0.004405 
0.055000, 0.109945, 2.829985 
0.057500, 0.114937, 1.044177 
0.060000, 0.119928, -3.280272 
0.062500, 0.124919, -5.806876 
0.065000, 0.129908, -3.998914 
0.067500, 0.134898, -0.465296 
0.070000, 0.139886, 1.116490 
0.072500, 0.144873, 0.056641 
0.075000, 0.149859, -2.832789 
0.077500, 0.154845, -4.249949 
0.080000, 0.159829, -3.062620 
0.082500, 0.164813, -0.906676 
0.085000, 0.169795, -0.199514 
0.087500, 0.174777, -1.552523 
0.090000, 0.179757, -3.138679 
0.092500, 0.184736, -3.349745 
0.095000, 0.189714, -1.995549 
0.097500, 0.194691, -0.765835 
0.100000, 0.199667, -0.968498 
0.102500, 0.204641, -2.233437 
0.105000, 0.209614, -3.111518 
0.107500, 0.214586, -2.721007 
0.110000, 0.219557, -1.622383 
0.112500, 0.224526, -1.054410 
0.115000, 0.229493, -1.527674 
0.117500, 0.234460, -2.407241 
0.120000, 0.239424, -2.708201 
0.122500, 0.244388, -2.181853 
0.125000, 0.249349, -1.470790 
0.127500, 0.254310, -1.338702 
0.130000, 0.259268, -1.852005 
0.132500, 0.264225, -2.402380 
0.135000, 0.269181, -2.412483 
0.137500, 0.274134, -1.931584 
0.140000, 0.279086, -1.510070 
0.142500, 0.284036, -1.571866 
0.145000, 0.288985, -1.992664 
0.147500, 0.293931, -2.292589 
0.150000, 0.298876, -2.171953 
0.152500, 0.303819, -1.798125 
0.155000, 0.308760, -1.578755 
0.157500, 0.313699, -1.715711 
0.160000, 0.318636, -2.022781 
0.162500, 0.323572, -2.161751 
0.165000, 0.328505, -2.005679 
0.167500, 0.333436, -1.743496 
0.170000, 0.338365, -1.650279 
0.172500, 0.343292, -1.797208 
0.175000, 0.348216, -2.003188 
0.177500, 0.353139, -2.048245 
0.180000, 0.358059, -1.901060 
0.182500, 0.362977, -1.728496 
0.185000, 0.367893, -1.703577 
0.187500, 0.372807, -1.830049 
0.190000, 0.377718, -1.958494 
0.192500, 0.382627, -1.954820 
0.195000, 0.387533, -1.833397 
0.197500, 0.392437, -1.725218 
0.200000, 0.397339, -1.732777 
0.202500, 0.402238, -1.830704 
0.205000, 0.407134, -1.906143 
0.207500, 0.412028, -1.881821 
0.210000, 0.416920, -1.789032 
0.212500, 0.421809, -1.723718 
0.215000, 0.426695, -1.743351 
0.217500, 0.431578, -1.814272 
0.220000, 0.436459, -1.855774 
0.222500, 0.441337, -1.825660 
0.225000, 0.446213, -1.757546 
0.227500, 0.451085, -1.718739 
0.230000, 0.455955, -1.739794 
0.232500, 0.460822, -1.788653 
0.235000, 0.465686, -1.809550 
0.237500, 0.470547, -1.780667 
0.240000, 0.475405, -1.731625 
0.242500, 0.480260, -1.708406 
0.245000, 0.485113, -1.726370 
0.247500, 0.489962, -1.758784 
0.250000, 0.494808, -1.767868 
0.252500, 0.499651, -1.742968 
0.255000, 0.504491, -1.707793 
0.257500, 0.509328, -1.693321 
0.260000, 0.514161, -1.706827 
0.262500, 0.518991, -1.727572 
0.265000, 0.523819, -1.730176 
0.267500, 0.528642, -1.709740 
0.270000, 0.533463, -1.684207 
0.272500, 0.538280, -1.674375 
0.275000, 0.543094, -1.683499 
0.277500, 0.547904, -1.696194 
0.280000, 0.552711, -1.695400 
0.282500, 0.557515, -1.678963 
0.285000, 0.562315, -1.659981 
0.287500, 0.567111, -1.652479 
0.290000, 0.571904, -1.657888 
0.292500, 0.576694, -1.665133 
0.295000, 0.581480, -1.662650 
0.297500, 0.586262, -1.649462 
0.300000, 0.591040, -1.634883 
0.302500, 0.595815, -1.628477 
0.305000, 0.600586, -1.630955 
0.307500, 0.605354, -1.634522 
0.310000, 0.610117, -1.631240 
0.312500, 0.614877, -1.620539 
0.315000, 0.619633, -1.608912 
0.317500, 0.624385, -1.602973 
0.320000, 0.629133, -1.603228 
0.322500, 0.633877, -1.604297 
0.325000, 0.638618, -1.600645 
0.327500, 0.643354, -1.591785 
0.330000, 0.648086, -1.582151 
0.332500, 0.652814, -1.576389 
0.335000, 0.657538, -1.574999 
0.337500, 0.662258, -1.574346 
0.340000, 0.666974, -1.570516 
0.342500, 0.671686, -1.562987 
0.345000, 0.676393, -1.554720 
0.347500, 0.681097, -1.549017 
0.350000, 0.685796, -1.546430 
0.352500, 0.690490, -1.544563 
0.355000, 0.695181, -1.540623 
0.357500, 0.699867, -1.534037 
0.360000, 0.704548, -1.526724 
0.362500, 0.709226, -1.521047 
0.365000, 0.713899, -1.517595 
0.367500, 0.718567, -1.514850 
0.370000, 0.723231, -1.510812 
0.372500, 0.727890, -1.504882 
0.375000, 0.732545, -1.498249 
0.377500, 0.737195, -1.492599 
0.380000, 0.741841, -1.488531 
0.382500, 0.746482, -1.485134 
0.385000, 0.751118, -1.480986 
0.387500, 0.755750, -1.475501 
0.390000, 0.760377, -1.469359 
0.392500, 0.764999, -1.463752 
0.395000, 0.769616, -1.459249 
0.397500, 0.774229, -1.455358 
0.400000, 0.778837, -1.451085 
0.402500, 0.783440, -1.445888 
0.405000, 0.788038, -1.440105 
0.407500, 0.792631, -1.434555 
0.410000, 0.797219, -1.429752 
0.412500, 0.801802, -1.425480 
0.415000, 0.806380, -1.421070 
0.417500, 0.810953, -1.416045 
0.420000, 0.815521, -1.410521 
0.422500, 0.820084, -1.405039 
0.425000, 0.824642, -1.400034 
0.427500, 0.829194, -1.395468 
0.430000, 0.833742, -1.390914 
0.432500, 0.838284, -1.385976 
0.435000, 0.842821, -1.380636 
0.437500, 0.847353, -1.375223 
0.440000, 0.851879, -1.370091 
0.442500, 0.856400, -1.365299 
0.445000, 0.860916, -1.360600 
0.447500, 0.865426, -1.355688 
0.450000, 0.869931, -1.350469 
0.452500, 0.874431, -1.345123 
0.455000, 0.878925, -1.339914 
0.457500, 0.883413, -1.334952 
0.460000, 0.887896, -1.330116 
0.462500, 0.892374, -1.325185 
0.465000, 0.896846, -1.320037 
0.467500, 0.901312, -1.314748 
0.470000, 0.905773, -1.309499 
0.472500, 0.910228, -1.304412 
0.475000, 0.914677, -1.299451 
0.477500, 0.919120, -1.294471 
0.480000, 0.923558, -1.289354 
0.482500, 0.927990, -1.284106 
0.485000, 0.932417, -1.278839 
0.487500, 0.936837, -1.273663 
0.490000, 0.941252, -1.268594 
0.492500, 0.945660, -1.263549 
0.495000, 0.950063, -1.258429 
0.497500, 0.954460, -1.253205 
0.500000, 0.958851, -1.247932 
0.502500, 0.963236, -1.242696 
0.505000, 0.967615, -1.237536 
0.507500, 0.971988, -1.232419 
0.510000, 0.976354, -1.227272 
0.512500, 0.980715, -1.222052 
0.515000, 0.985070, -1.216776 
0.517500, 0.989418, -1.211498 
0.520000, 0.993760, -1.206267 
0.522500, 0.998096, -1.201078 
0.525000, 1.002426, -1.195888 
0.527500, 1.006749, -1.190655 
0.530000, 1.011067, -1.185370 
0.532500, 1.015378, -1.180065 
0.535000, 1.019682, -1.174777 
0.537500, 1.023980, -1.169521 
0.540000, 1.028272, -1.164279 
0.542500, 1.032557, -1.159018 
0.545000, 1.036836, -1.153718 
0.547500, 1.041109, -1.148389 
0.550000, 1.045374, -1.143057 
